alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.85,5,3200,1,1.828592,1.842735,0.9923,0.9961,0.994728,0.994786,1887.79,1873.30
0.85,6,10,1,0.057968,0.056658,1.0231,1.0270,0.935805,0.935255,59550.10,60926.97
0.85,6,20,1,0.057891,0.056753,1.0201,1.0239,0.935805,0.935255,59629.30,60824.98
0.85,6,50,1,0.058043,0.056895,1.0202,1.0241,0.935805,0.935255,59473.15,60673.17
0.85,6,100,1,0.084695,0.083368,1.0159,1.0198,0.956634,0.955968,40758.01,41406.77
0.85,6,200,1,0.146337,0.145943,1.0027,1.0065,0.973899,0.973030,23589.39,23653.07
0.85,6,400,1,0.264015,0.265231,0.9954,0.9992,0.983922,0.984125,13075.01,13015.07
0.85,6,800,1,0.501957,0.501460,1.0010,1.0048,0.989571,0.989600,6877.08,6883.90
0.85,6,1600,1,0.968588,0.970610,0.9979,1.0017,0.992874,0.992787,3563.95,3556.53
0.85,6,3200,1,1.825945,1.827192,0.9993,1.0031,0.995017,0.994699,1890.53,1889.24
0.85,7,10,1,0.064511,0.064376,1.0021,1.0059,0.942816,0.942063,53510.25,53622.47
0.85,7,20,1,0.064628,0.064658,0.9995,1.0034,0.942816,0.942063,53413.38,53388.60
0.85,7,50,1,0.064803,0.064600,1.0031,1.0070,0.942816,0.942063,53269.14,53436.53
0.85,7,100,1,0.084422,0.084624,0.9976,1.0014,0.956576,0.955707,40889.82,40792.21
0.85,7,200,1,0.145818,0.147166,0.9908,0.9946,0.974537,0.973059,23673.35,23456.50
0.85,7,400,1,0.261537,0.265553,0.9849,0.9886,0.984154,0.984125,13198.90,12999.29
0.85,7,800,1,0.499855,0.505878,0.9881,0.9919,0.989716,0.989948,6906.00,6823.78
0.85,7,1600,1,0.963383,0.976507,0.9866,0.9903,0.993221,0.993134,3583.21,3535.05
0.85,7,3200,1,1.812269,1.840948,0.9844,0.9882,0.995017,0.995075,1904.79,1875.12
0.85,8,10,1,0.072845,0.071013,1.0258,1.0297,0.947943,0.948320,47388.29,48610.82
